std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
GIGI S CFE FIORUCCI,RESTAURANT,ON,610 S MOUNT SHASTA BLVD,MOUNT SHASTA,CA,96067
YUJO,RESTAURANT,ON,12835 PRESTON RD SUITE 216,DALLAS,TX,75230
MEZCAL GRILL,RESTAURANT,ON,5701 BROADWAY STE B,SACRAMENTO,CA,95820
O-Ku,RESTAURANT,ON,1085 Howell Mill Rd NW  A-3,Atlanta,GA,30318
KA THAI,RESTAURANT,ON,3220 MCKINNEY AVE SUITE 120,DALLAS,TX,75204
BLUE MAKI,RESTAURANT,ON,2625 OLD DENTON RD STE 444,CARROLLTON,TX,75007
SHOKUDO,RESTAURANT,ON,4740 NE 2ND AVENUE,MIAMI,FL,33137
MAVERICKS MONTAUK LLC,RESTAURANT,ON,51 S EDGEMERE ST,MONTAUK,NY,11954
HULLABALOO,RESTAURANT,ON,517-519 CLEMATIS STREET,WEST PALM BEACH,FL,33401
ERNESTO S,RESTAURANT,ON,259 E BROADWAY,NEW YORK,NY,10002
MEAT & CHEESE,RESTAURANT,ON,319 EAST HOPKINS AVE UNIT 103,ASPEN,CO,81611
SUSHI MOCKI,RESTAURANT,ON,5321 E MOCKINGBIRD LN STE 130,DALLAS,TX,75206
SEREIA,RESTAURANT,ON,3540 MAIN HWY,MIAMI,FL,33133
KASE SAKE & SUSHI,RESTAURANT,ON,5697 S JONES BLVD #220,LAS VEGAS,NV,89118
THE BLUE FISH,RESTAURANT,ON,3519 GREENVILLE AVENUE,DALLAS,TX,75206
LAFAYETTE & MARION,RESTAURANT,ON,1111 SW 1ST AVE,MIAMI,FL,33131
NO COAST SUSHI,RESTAURANT,ON,1119 NORTH 1ST ST UNIT A,GRAND JUNCTION,CO,81501
Calvert s,RESTAURANT,ON,475 Highland Ave,Augusta,GA,30909
MONTECITO CLARK S,RESTAURANT,ON,1212 COAST VILLAGE RD,SANTA BARBARA,CA,93108
ZZ S,RESTAURANT,ON,560 W 33RD ST/55 HUDSON YARDS,NEW YORK,NY,10001
Hajime Restaurant,RESTAURANT,ON,2345 Cheshire Bridge Rd Unit 1,Atlanta,GA,30324
THE X POT @ PALAZZO,RESTAURANT,ON,3377 LAS VEGAS BLVD S #2884,LAS VEGAS,NV,89109
Daisy Discount Liquor,RESTAURANT,ON,17114 US Hwy 280,Claxton,GA,30417
KA THAI MIDTOWN,RESTAURANT,ON,8185 WALNUT HILL LN STE 1410,DALLAS,TX,75231
TAO LA,RESTAURANT,ON,6421 SELMA AVE,LOS ANGELES,CA,90028
BUCCAN,RESTAURANT,ON,350 S COUNTY RD,PALM BEACH,FL,33480
CUT FIVE BOCA,RESTAURANT,ON,9500 SAUVIGNON PARKWAY,BOCA RATON,FL,33496
UCHI MIAMI,RESTAURANT,ON,252 NW 25TH ST,MIAMI,FL,33127
N AMO,RESTAURANT,ON,474 W LAKE DR,MONTAUK,NY,11954
ASIAN MINT B,RESTAURANT,ON,5290 BELT LINE ROAD STE 118,ADDISON,TX,75254
YUMIYAKI,RESTAURANT,ON,21 W 35TH ST,NEW YORK,NY,10001
GENGHIS COHEN,RESTAURANT,ON,734-36-38-40-42 N FAIRFAX AVE,LOS ANGELES,CA,90046
Q HOUSE,RESTAURANT,ON,3421 E COLFAX AVE,DENVER,CO,80206
VICTORIA S PISCO LOUNGE,RESTAURANT,ON,806 LAKE WORTH AVE,LAKE WORTH,FL,33460
MAASS,RESTAURANT,ON,525 N FORT LAUDERDALE BCH BLVD,FORT LAUDERDALE,FL,33304
DAUGHTER THAI KITCHEN & BAR,RESTAURANT,ON,1700 PLATTE STREET SUITE 140,DENVER,CO,80202
YUJO,RESTAURANT,ON,2626 N JOSEY LN STE 107,CARROLLTON,TX,75007
Harry & Sons,RESTAURANT,ON,820 N Highland Ave NE,Atlanta,GA,30306
Sensu Sushi Resturaunt and Bar,RESTAURANT,ON,300 Trilith Pkwy STE 270/275,Fayetteville,GA,30214
DUEMANI,RESTAURANT,ON,216 SOUTH MONARCH STREET,ASPEN,CO,81611
JOONAS & BEAR DEN ASPEN,RESTAURANT,ON,301 EAST HOSPKINS AVENUE,ASPEN,CO,81611
SAGO,RESTAURANT,ON,485 S COAST HWY 101,ENCINITAS,CA,92024
Cork and Flame,RESTAURANT,ON,4414 Evans to Lock Rd STE 2,Evans,GA,30809
Dua Vietnamese Restaurant Inc,RESTAURANT,ON,805 Lanier Ave. W,Fayetteville,GA,30214
CLARK S OYSTER BAR,RESTAURANT,ON,517 E HYMAN AVENUE,ASPEN,CO,81611
YUJO,RESTAURANT,ON,16100 STATE HWY 121 BLDG B STE 200,FRISCO,TX,75035
IWA SUSHI & GRILL,RESTAURANT,ON,5940 ROYAL LANE,DALLAS,TX,75230
UMEKES FISH MARKET BAR & GRILL,RESTAURANT,ON,74-5599 PAWAI PLACE BLDG A,KAILUA KONA,HI,96740
Fumi,RESTAURANT,ON,3550 Mall Blvd,Duluth,GA,30096
MORIMOTO NAPA,RESTAURANT,ON,610 MAIN STREET,NAPA,CA,94559
KATAMI A,RESTAURANT,ON,2701 W DALLAS ST,HOUSTON,TX,77019
Mai Kitchen,RESTAURANT,ON,1040 N. Highland Ave. NE,Atlanta,GA,30306
TUCCI NEW YORK,RESTAURANT,ON,643 BROADWAY,NEW YORK,NY,10012
Brush Sushi Buckhead,RESTAURANT,ON,3035 Peachtree Rd NE Ste G140,Atlanta,GA,30305
SPARROW & WOLF,RESTAURANT,ON,4480 SPRING MOUNTAIN RD STE100,LAS VEGAS,NV,89102
JING,RESTAURANT,ON,5370 GREENWOOD PLAZA BLVD #101,ENGLEWOOD,CO,80111
TOP SUSHI A,RESTAURANT,ON,24435 TOMBALL PARKWAY SUITE 70,TOMBALL,TX,77375
SSA GROUP,RESTAURANT,ON,325 5TH AVE N,SEATTLE,WA,98109
M GRILL,RESTAURANT,ON,3832 WILSHIRE BL #202,LOS ANGELES,CA,90010
LITTLE DOMS,RESTAURANT,ON,2128 HILLHURST AV,LOS ANGELES,CA,90027
FLEMINGS PRIME STEAKHOUSE,RESTAURANT,ON,800 W OLYMPIC BL #A135,LOS ANGELES,CA,90015
KANS THAI KITCHEN,RESTAURANT,ON,4838 N FEDERAL HIGHWAY,FORT LAUDERDALE,FL,33308
HARRY S BEACH HOUSE,RESTAURANT,ON,2676 ALKI AVE SW,SEATTLE,WA,98116
JEFFREYS RESTAURANT & BAR,RESTAURANT,ON,1204 W LYNN ST INCLUDING 1601,AUSTIN,TX,78703
Grinds and Wines (Tavern on 74),RESTAURANT,ON,288 Hwy 74 N,Peachtree City,GA,30269
NUNOS BISTRO & BAR,RESTAURANT,ON,2440 W ARROW RTE  STE #4A,UPLAND,CA,91786
ACE,RESTAURANT,ON,501 EAST 17TH AVENUE,DENVER,CO,80203
TRATTORIA BRAVA,RESTAURANT,ON,809 GRAND AVE #4,GLENWOOD SPRINGS,CO,81601
NAM Kitchen,RESTAURANT,ON,6400 Blue Stone Rd STE 100,Sandy Springs,GA,30328
Kizuna,RESTAURANT,ON,140 Progress Circle  #3,Blue Ridge,GA,30513
KOJIN NOODLE BAR,RESTAURANT,ON,422 EATON STREET,KEY WEST,FL,33040
RUSTIC CANYON,RESTAURANT,ON,1119 WILSHIRE BL,SANTA MONICA,CA,90401
MIKATA,RESTAURANT,ON,H-41 237 PERIMETER CENTER PKWY NE S,Dunwoody,GA,30346
BRASSERIE BRIXTON,RESTAURANT,ON,3701 N WILLIAMS ST,DENVER,CO,80205
CUCINA 8 1/2,RESTAURANT,ON,9 WEST 57TH ST,NEW YORK,NY,10019
Bon Ton,RESTAURANT,ON,214 Ponce DeLeon Ave NE,Atlanta,GA,30308
RUSTIC HOUSE,RESTAURANT,ON,295 MAIN ST,LOS ALTOS,CA,94022
MUSUME RESTAURANT,RESTAURANT,ON,2330 FLORA SUITE 100,DALLAS,TX,75201
Church,RESTAURANT,ON,466 Edgewood Ave SE Bldg 466,Atlanta,GA,30312
TORO,RESTAURANT,ON,5 S/E OF DOLORESE & 5TH ST,CARMEL,CA,93921
Sports Cafe,RESTAURANT,ON,8501 Tara Blvd,Jonesboro,GA,30236
PAPERFISH,RESTAURANT,ON,432 ESPANOLA WAY,MIAMI BEACH,FL,33139
MCNEAR S RSTR & BAR,RESTAURANT,ON,21-23 PETALUMA BLVD N,PETALUMA,CA,94952
MATY S/ITAMAE AO,RESTAURANT,ON,3255 NE 1ST AVE,MIAMI,FL,33137
FRENCH GRILL HOUSE,RESTAURANT,ON,427 NORTHWOOD ROAD,WEST PALM BEACH,FL,33407
BOND ST,RESTAURANT,ON,6 BOND ST,NEW YORK,NY,10012
Flock To The Wok LLC,RESTAURANT,ON,37 Whitaker ST,Savannah,GA,31401
JIMOTO RAMEN,RESTAURANT,ON,616 EAST HYMAN,ASPEN,CO,81611
TINY GROCER,RESTAURANT,ON,4300 SPEEDWAY UNIT 101,AUSTIN,TX,78751
NAMINOHANA,RESTAURANT,ON,5521 GREENVILLE AVE ST 111,DALLAS,TX,75206
Three Dollar Cafe,RESTAURANT,ON,3000 Windy Hill Rd SE STE 132,Marietta,GA,30067
Marietta Melt Yard,RESTAURANT,ON,800 Whitlock Ave NW Ste 124,Marietta,GA,30064
ASIAN MINT,RESTAURANT,ON,11617 N CENTRAL EXPY STE 135,DALLAS,TX,75243
OWA,RESTAURANT,ON,1635-1637 ABBOT KINNEY BLVD,VENICE,CA,90291
TROPICAL SMOKEHOUSE,RESTAURANT,ON,3815 S DIXIE HWY,WEST PALM BEACH,FL,33405
The Monte Cristo (Montecello),RESTAURANT,ON,2000 Powers Ferry Rd  #1-3,Marietta,GA,30067
Kelley s Tavern & Grill LLC,RESTAURANT,ON,628 EE Butler Parkway,Gainesville,GA,30501
LOTUS OF SIAM,RESTAURANT,ON,620 E FLAMINGO RD,LAS VEGAS,NV,89119
RED DOOR HIBACHI STEAK HOUSE,RESTAURANT,ON,3881 NE 163RD STREET,NORTH MIAMI BEACH,FL,33160
MING S CAFE CARBONDALE,RESTAURANT,ON,901 HIGHWAY 133 #F,CARBONDALE,CO,81623
SATO/CAFE 163,RESTAURANT,ON,0105 EDWARDS VILL BLVD D101,EDWARDS,CO,81632
BOURBON STEAKHOUSE,RESTAURANT,ON,237 S BRAND BLVD,GLENDALE,CA,91204
IYASARE,RESTAURANT,ON,1830 4TH ST,BERKELEY,CA,94710
Atlanta Eagle,RESTAURANT,ON,1492 Piedmont Ave NE Ste F,Atlanta,GA,30309
Lingering Shade Social Club,RESTAURANT,ON,660 Irwin St NE,Atlanta,GA,30312
IZAKAYA CABIN,RESTAURANT,ON,321 ELK AVENUE,CRESTED BUTTE,CO,81224
FUKUMOTO,RESTAURANT,ON,514 MEDINA STREET,AUSTIN,TX,78702
Umi Sushi,RESTAURANT,ON,3050 Peachtree Rd Ne,Atlanta,GA,30305
Brass Tap,RESTAURANT,ON,#32 4505 Ashford Dunwoody Rd,Dunwoody,GA,30346
HAKKASAN - RESTAURANT @ MGM,RESTAURANT,ON,3799 S LAS VEGAS BLVD,LAS VEGAS,NV,89109
New York Butcher Shoppe,RESTAURANT,ON,4475 Roswell Rd Ste 1030,Marietta,GA,30062
Cru Battery Atlanta,RESTAURANT,ON,915 Battery Ave SE,Atlanta,GA,30339
INTERNATIONAL SMOKE,RESTAURANT,ON,301-301B MISSION ST,SAN FRANCISCO,CA,94105
WILLIAMS & GRAHAM / OCCIDENTAL,RESTAURANT,ON,3150-3160 TEJON STREET,DENVER,CO,80211
HIGHLANDS ALEHOUSE,RESTAURANT,ON,0133 PROSPECTOR ROAD STE 4114B,ASPEN,CO,81611
KA THAI NORTH DALLAS,RESTAURANT,ON,6859 ARAPAHO RD STE 601,DALLAS,TX,75248
ROCKER OYSTERFELLERS,RESTAURANT,ON,14415 HWY 1,VALLEY FORD,CA,94972
MIMI CHINESE,RESTAURANT,ON,1575 ALTON RD,MIAMI BEACH,FL,33139
The Club At Atl,RESTAURANT,ON,1 H-J Atlanta Airport  Conc F,Atlanta,GA,30354
PEARL,RESTAURANT,ON,4640 MCKINNEY AVE STE 130,DALLAS,TX,75205
H & F Bottle Shop,RESTAURANT,ON,2357 Peachtree Rd NE Ste 3,Atlanta,GA,30305
JAGALCHI (ON),RESTAURANT,ON,63 SERRAMONTE CENTER,DALY CITY,CA,94015
LE CHICK ROTISSERIE,RESTAURANT,ON,310 NW 24TH STREET,MIAMI,FL,33127
EBESU ROBATA & SUSHI,RESTAURANT,ON,1007 E 15TH STREET,PLANO,TX,75074
NYC RESTAURANT SERVICES LLC,RESTAURANT,ON,1 VANDERBILT AVE  LEVEL B1,NEW YORK,NY,10017
Kuroshio Sushi Bar & Grill,RESTAURANT,ON,2700 Cobb Pkwy:3B-4B,Smyrna,GA,30080
Prime 120,RESTAURANT,ON,120 Chambers Street,Woodstock,GA,30188
ROOSEVELT,RESTAURANT,ON,1512 LARIMER ST UNIT 29R,DENVER,CO,80202
GOLDFINCH,RESTAURANT,ON,119 S MAIN ST,SEBASTOPOL,CA,95472
Westside Pizzeria,RESTAURANT,ON,2260 Marietta Blvd NW Ste 107,Atlanta,GA,30318
Kiosco,RESTAURANT,ON,48 Powder Springs St,Marietta,GA,30064
Out Of The Blue  Inc.,RESTAURANT,ON,647 E Main St,Blue Ridge,GA,30513
DEBONAIR SUPPER CLUB,RESTAURANT,ON,183 S ORANGE AVE,ORLANDO,FL,32801
Mazzy s Sports Bar & Grill,RESTAURANT,ON,2217 Roswell Rd Ste A-200,Marietta,GA,30062
CLARKS HOUSTON,RESTAURANT,ON,3807 MONTROSE BLVD,HOUSTON,TX,77006
Antico Pizza Battery,RESTAURANT,ON,Ste 420 2605 Circle 75 Pkwy SE,Atlanta,GA,30339
The Mad Mexican,RESTAURANT,ON,2 E Court Square,Newnan,GA,30263
YUZU JAPANESE RESTAUARANT AND BAR,RESTAURANT,ON,2101 SUMMER LEE DR SUITE 105,ROCKWALL,TX,75032
THE MONARCH,RESTAURANT,ON,411 S MONARCH,ASPEN,CO,81611
La Grotta Restaurant (Pchtree),RESTAURANT,ON,2637 Peachtree Rd,Atlanta,GA,30305
YAMA IZAKAYA SUSHI B,RESTAURANT,ON,240 LEGACY DRIVE SUITE 100,PLANO,TX,75023
JG MELON,RESTAURANT,ON,89 MACDOUGAL ST,NEW YORK,NY,10012
PAPERFISH/BARSECCO,RESTAURANT,ON,1421 SOUTH MIAMI AVENUE,MIAMI,FL,33131
HARRIS RESTAURANT,RESTAURANT,ON,2100 VAN NESS AVE,SAN FRANCISCO,CA,94109
Yao Thai Restaurant,RESTAURANT,ON,Ste H-31 245 Perimeter Center Pkwy,Dunwoody,GA,30346
Frank s At The Old Mill,RESTAURANT,ON,1095 Hwy 54 West,Fayetteville,GA,30214
Katana Sushi Hibachi,RESTAURANT,ON,4400 Roswell Rd Ste 152,Marietta,GA,30062
Woofs Sports Bar,RESTAURANT,ON,494 Plasters Ave NE Ste 200,Atlanta,GA,30324
Thai Spice,RESTAURANT,ON,286 Highway 74 N,Peachtree City,GA,30269
THE BLUE FISH,RESTAURANT,ON,5760 HWY 121 SUITE 175,PLANO,TX,75024
MamiTaco Inc,RESTAURANT,ON,800 Whitlock Ave NW Ste 207,Marietta,GA,30064
PINK STEAK,RESTAURANT,ON,2777 S DIXIE HWY,WEST PALM BEACH,FL,33405
PURPLE PATCH,RESTAURANT,ON,3155 MOUNT PLEASANT ST NW 101,WASHINGTON,DC,20019
ULTREIA,RESTAURANT,ON,1701 WYNKOOP STREET SUITE 125,DENVER,CO,80202
Kobe Japanese Steakhouse,RESTAURANT,ON,2876 Highway 54,Peachtree City,GA,30269
ONE FISH RAW BAR,RESTAURANT,ON,193 E CAMPBELL AVE,CAMPBELL,CA,95008
The Tabernacle,RESTAURANT,ON,152 Luckie St NW,Atlanta,GA,30303
SUEHIRO JAPANESE RESTAURANT,RESTAURANT,ON,541 MAIN STREET,GRAND JUNCTION,CO,81501
KENICHI,RESTAURANT,ON,533 E HOPKINS,ASPEN,CO,81611
Tannery Row Ale House*CLOSED*,RESTAURANT,ON,554 W Main ST C-100,Buford,GA,30518
THE BLUE FISH,RESTAURANT,ON,320 WEST LAS COLINAS BLVD SUITE 110,IRVING,TX,75039
GOLDEN GRILL ON THE BAY,RESTAURANT,ON,1014 BAY ST,PORT ORCHARD,WA,98366
The Atlanta Fish Market,RESTAURANT,ON,265 Pharr Rd NE,Atlanta,GA,30305
J. R Crickets,RESTAURANT,ON,4550 Jonesboro Rd Ste C,Union City,GA,30291
Rusty Barrel,RESTAURANT,ON,138 Powers Ferry Rd SE,Marietta,GA,30067
PARTAGE,RESTAURANT,ON,3829-3839 SPRING MOUNTAIN RD,LAS VEGAS,NV,89102
Thrive,RESTAURANT,ON,101 Marietta St NW,Atlanta,GA,30303
Cru Food & WIne Bar,RESTAURANT,ON,300 Avalon Blvd,Alpharetta,GA,30009
Pour Taproom Midtown,RESTAURANT,ON,1180 Peachtree St NE Ste A,Atlanta,GA,30309
RISTORANTE SANTUCCI,RESTAURANT,ON,610 CLEMATIS ST,WEST PALM BEACH,FL,33401
ESNAF,RESTAURANT,ON,1105 SAN CARLOS AVE,SAN CARLOS,CA,94070
JJANGA STEAK & SUSHI,RESTAURANT,ON,6125 S FORT APACHE RD #200,LAS VEGAS,NV,89148
DOMODOMO,RESTAURANT,ON,2681 HOWELL ST BU3,DALLAS,TX,75201
NAMO,RESTAURANT,ON,3699 MCKINNEY AVENUE SUITE 305C,DALLAS,TX,75204
MORI JAPANESE GRILL,RESTAURANT,ON,2200 S 10TH STREET SPACE S25,MCALLEN,TX,78503
Nana Thai Eatery,RESTAURANT,ON,2940 Johnson Ferry Rd Ste C,Marietta,GA,30062
Perfecture Japanese Steakhouse,RESTAURANT,ON,2277 Peachtree Rd NE Ste A,Atlanta,GA,30309
ZUZU,RESTAURANT,ON,823 & 825 & 829 MAIN ST,NAPA,CA,94559
TOSCANA MARE,RESTAURANT,ON,1121 CRANDON BLVD,KEY BISCAYNE,FL,33149
Ted s Montana Grill,RESTAURANT,ON,314 City Circle #1320,Peachtree City,GA,30269
OZUMO,RESTAURANT,ON,355 SANTANA ROW #1010,SAN JOSE,CA,95128
Park 82  **CLOSED**,RESTAURANT,ON,4403 Northside Pkwy NW Ste 150,Atlanta,GA,30327
BOURBON STEAK,RESTAURANT,ON,3960 S LAS VEGAS BLVD,LAS VEGAS,NV,89119
LOCAL YOCAL BBQ & GRILL,RESTAURANT,ON,350 E LOUISIANA STREET SUITE A,MCKINNEY,TX,75069
Bella Napoli Savannah,RESTAURANT,ON,18 E State St,Savannah,GA,31401
LIGHTHOUSE,RESTAURANT,ON,145 BORINQUEN PLACE,BROOKLYN,NY,11211
Park 82,RESTAURANT,ON,4403 Northside Pkwy NW #150,Atlanta,GA,30327
MISTER FRENCH,RESTAURANT,ON,24 E 21ST ST,NEW YORK,NY,10010
CASA TUA ASPEN,RESTAURANT,ON,403 S GALENA ST,ASPEN,CO,81611
MILA MIAMI,RESTAURANT,ON,800 LINCOLN ROAD,MIAMI BEACH,FL,33139
LE BILBOQUET,RESTAURANT,ON,299 SAINT PAUL STREET,DENVER,CO,80206
BONNELL S FINE TEXAS CUISINE,RESTAURANT,ON,4259 BRYANT IRVIN ROAD,FORT WORTH,TX,76109
NORTH,RESTAURANT,ON,7501 WINDROSE AVENUE SUITE D190,PLANO,TX,75024
KOSEN,RESTAURANT,ON,307 W PALM AVE,TAMPA,FL,33602
Basils Restaurant & Bar,RESTAURANT,ON,2985 Grandview Ave,Atlanta,GA,30305
Oakhurst Market,RESTAURANT,ON,650 E Lake Dr Ste A,Decatur,GA,30030
CRESCENT BISTRO,RESTAURANT,ON,45 CRESCENT DR #11 C,PLEASANT HILL,CA,94523
MISOHAPPY LLC,RESTAURANT,ON,504 SOUTHARD ST,KEY WEST,FL,33040
Fukuro Bar and Sushi,RESTAURANT,ON,5100 Washington Road,Evans,GA,30809
BAD KITTY LOUNGE,RESTAURANT,ON,227 BRIDGE STREET C,VAIL,CO,81657
BASIL & MINT VIETNAMESE CAFE,RESTAURANT,ON,350 N LANTANA ST  STE 7,CAMARILLO,CA,93010
THE BINDERY  LTD,RESTAURANT,ON,1817 CENTRAL STREET,DENVER,CO,80211
ALL DAY BABY,RESTAURANT,ON,3200 W SUNSET BL,LOS ANGELES,CA,90026
KEI,RESTAURANT,ON,191 195 7TH AVE,NEW YORK,NY,10011
PALATE,RESTAURANT,ON,1301 S MAIN ST #110,LAS VEGAS,NV,89104
Umbrella Bar,RESTAURANT,ON,675 Ponce De Leon Ave NE,Atlanta,GA,30308
NATIVE SON ALEHOUSE,RESTAURANT,ON,305 E 4TH ST #200,SANTA ANA,CA,92701
HEALTHY JUNK PACKING HOUSE,RESTAURANT,ON,440 S ANAHEIM BLVD UNIT 209B,ANAHEIM,CA,92805
PUB AT DONNER LAKE THE,RESTAURANT,ON,15963 S SHORE DR,TRUCKEE,CA,96161
BARCHA,RESTAURANT,ON,425 MARKET ST,SAN FRANCISCO,CA,94105
SUSHIHANA JAPANESE RESTAURANT,RESTAURANT,ON,1810 NW MILITARY,CASTLE HILLS,TX,78213
SMITH & MILLS,RESTAURANT,ON,10 W 50TH ST,NEW YORK,NY,10020
AYA SUSHI,RESTAURANT,ON,5407 BELLAIRE BLVD STE A,BELLAIRE,TX,77401
HUSH KELLER INC,RESTAURANT,ON,211 S MAIN ST,KELLER,TX,76248
JACKSON S BAR & OVEN,RESTAURANT,ON,135 4TH ST STE #A,SANTA ROSA,CA,95401
RED GRILL MEXICAN RESTAURANT,RESTAURANT,ON,1701 2ND AVE,NEW YORK,NY,10128
WILFRED S LOUNGE,RESTAURANT,ON,967 1ST ST,NAPA,CA,94559
MATHESON  THE,RESTAURANT,ON,106 MATHESON ST,HEALDSBURG,CA,95448
KAORI MIAMI,RESTAURANT,ON,871 S MIAMI AVE,MIAMI,FL,33130
TUTTI MANGIA GRILL,RESTAURANT,ON,102 HARVARD AV,CLAREMONT,CA,91711
ABSINTHE BRASSERIE & BAR,RESTAURANT,ON,388 & 394 & 398 HAYES ST,SAN FRANCISCO,CA,94102
HATCH YAKITORI,RESTAURANT,ON,700 W 7TH ST  STE G600,LOS ANGELES,CA,90017
BOB S STEAK AND CHOP HOUSE,RESTAURANT,ON,5815 RIM PASS DR,SAN ANTONIO,TX,78257
SANDBAR & GRILL,RESTAURANT,ON,MUNICIPAL WHARF #2,MONTEREY,CA,93940
NATIVO,RESTAURANT,ON,5137 YORK BLVD,LOS ANGELES,CA,90042
EMPRESS M LLC,RESTAURANT,ON,221 SILVERADO TRAIL,NAPA,CA,94559
LAVA TUBE WAIKIKI INC,RESTAURANT,ON,2280 KUHIO AVE,HONOLULU,HI,96815
ST JAMES GATE,RESTAURANT,ON,1410 OLD COUNTY RD,BELMONT,CA,94002
BASILICO,RESTAURANT,ON,6111 S BUFFALO DR STE 100,LAS VEGAS,NV,89113
SUSHI CHEF,RESTAURANT,ON,3100 CORAL WAY,MIAMI,FL,33145
MOTHERTONGUE/MINA,RESTAURANT,ON,960 N LA BREA AVE 4TH & 5TH FL,LOS ANGELES,CA,90038
VACATION,RESTAURANT,ON,204 W 4TH ST,SANTA ANA,CA,92701
A RESTAURANT,RESTAURANT,ON,3334 W COAST HWY,NEWPORT BEACH,CA,92663
NAPKINS BAR & GRILL,RESTAURANT,ON,1001 2ND ST,NAPA,CA,94559
SIX TEST KITCHEN,RESTAURANT,ON,3075 BLUE ROCK RD #B,PASO ROBLES,CA,93446
MARIGOLD CLUB,RESTAURANT,ON,2531 KUESTER STREET,HOUSTON,TX,77006
CELLA RESTAURANT AND BAR,RESTAURANT,ON,525 POLK STREET,MONTEREY,CA,93940
SLATE BISTRO & CRAFT BAR,RESTAURANT,ON,4850 SANTA ROSA RD,CAMARILLO,CA,93012
GLASS BOX,RESTAURANT,ON,12841 EL CAMINO REAL #203-211,SAN DIEGO,CA,92130
CAMPHOR,RESTAURANT,ON,923 E 3RD ST #109,LOS ANGELES,CA,90013
CARPE DIEM,RESTAURANT,ON,1001 2ND ST STE 185 & 165,NAPA,CA,94558
CARMEL RESTAURANT,RESTAURANT,ON,7383 W MELROSE AV,LOS ANGELES,CA,90046
ANGELE,RESTAURANT,ON,540 MAIN ST #B,NAPA,CA,94559
KRU CONTEMPORARY JAPANESE,RESTAURANT,ON,3135 FOLSOM BLVD,SACRAMENTO,CA,95816
TEDDY WONGS AND BUSHI BUSHI MARKET,RESTAURANT,ON,812 W ROSEDALE ST,FORT WORTH,TX,76104
AVIARY,RESTAURANT,ON,712 K ST,SACRAMENTO,CA,95814
BASIL & WICKS,RESTAURANT,ON,3195 STATE ROUTE 28,NORTH CREEK,NY,12853
FIDDLEHEAD BISTRO  THE,RESTAURANT,ON,33 BROADWAY,SARANAC LAKE,NY,12983
AROI MAK MAK,RESTAURANT,ON,344 ORANGE ST,REDLANDS,CA,92374
URBAN ROOTS BREWING,RESTAURANT,ON,1409 R ST STE #102,SACRAMENTO,CA,95814
ZIZIKI S,RESTAURANT,ON,4514 TRAVIS ST SUITE 122,DALLAS,TX,75205
SANTA FE STEAKHOUSE,RESTAURANT,ON,1918 S. 10TH STREET,MCALLEN,TX,78503
ASCEND PRIME STEAK AND SUSHI,RESTAURANT,ON,10400 NE 4TH STREET STE 3100,BELLEVUE,WA,98004
SENS,RESTAURANT,ON,4 EMBARCADERO CTR POD,SAN FRANCISCO,CA,94111
AKASHI SUSHI FUSION CUISINE,RESTAURANT,ON,416 9550 Spring Green Boulevard,KATY,TX,77494
RISTORANTE LA TOSCANA,RESTAURANT,ON,3751 REDWOOD HWY,SAN RAFAEL,CA,94903
RESTAURANT SUSHI  SASA,RESTAURANT,ON,2401 15TH STREET STE 80,DENVER,CO,80202
CHEESECAKE FACTORY-RM,RESTAURANT,ON,71800 HWY 111 #D-101,RANCHO MIRAGE,CA,92270
PEARL DRAGON,RESTAURANT,ON,15229 SUNSET BL,PACIFIC PALISADES,CA,90272
GOLDEN TIKI,BAR/TAVERN,ON,3939 SPRING MTN RD,LAS VEGAS,NV,89102
TAO DOWNTOWN,BAR/TAVERN,ON,369 WEST 16 ST,NEW YORK,NY,10011
HOOCH,BAR/TAVERN,ON,301 E HOPKINS AVE SUITE 102,ASPEN,CO,81611
DRIFTWOOD DOWNTOWN,BAR/TAVERN,ON,319 COLORADO STREET,AUSTIN,TX,78701
MAISON MURA,BAR/TAVERN,ON,333 SE 3RD AVENUE,MIAMI,FL,33131
ONEELEVEN HIFI LLC,BAR/TAVERN,ON,119 INGRAHAM ST,BROOKLYN,NY,11237
APOTHEKE,BAR/TAVERN,ON,1141 BROADWAY,NEW YORK,NY,10001
OYSTER HOUSE,BAR/TAVERN,ON,12446 MOORPARK ST,STUDIO CITY,CA,91604
LAST RITES,BAR/TAVERN,ON,718 14TH ST,SAN FRANCISCO,CA,94114
ZUMA,BAR/TAVERN,ON,1 DALTON ST,BOSTON,MA,02199
LA COMPAGNIE WINE BAR/EXPERIME,BAR/TAVERN,ON,6 WEST 24TH ST,NEW YORK,NY,10010
FOLKLORE,BAR/TAVERN,ON,1226 3RD STREET,NAPA,CA,94559
REGIIS OVA,BAR/TAVERN,ON,6480 WASHINGTON ST,YOUNTVILLE,CA,94599
LE BAR A VIN    (ON),BAR/TAVERN,ON,380 SOUTH COUNTY ROAD,PALM BEACH,FL,33480
BELLY UP ASPEN,BAR/TAVERN,ON,450 S GALENA ST  #2,ASPEN,CO,81611
KEG N BOTTLE 5,BAR/TAVERN,ON,6380 DEL CERRO BL,SAN DIEGO,CA,92120
LITTLE MORE,BAR/TAVERN,ON,111 READE ST,NEW YORK,NY,10013
MARTINI BAR,BAR/TAVERN,ON,3450 NW 83 AVENUE,MIAMI,FL,33122
