id,created_at,std_account_name,raw_vip_name,city,state,class_of_trade,on_off_premise,address,zip_code
81e5339d-faed-4e55-9ca1-558aae761c5a,2025-05-18 19:50:41.054755+00,BRADLEY S FINE WINES & SPIRITS,,TUSTIN,CA,LIQUOR/PACKAGE STORE,OFF,12932 NEWPORT AV #1,92780
820bf418-8e23-4d38-a6ef-60e95665071b,2025-05-18 19:50:41.054755+00,BOTTLE BARN,,SANTA ROSA,CA,LIQUOR/PACKAGE STORE,OFF,3331 INDUSTRIAL DR #A,95403
82f5807e-a704-4f13-92b2-6a8e6ab213a6,2025-05-18 19:50:41.054755+00,LITTLE HOKKAIDO,,ARCATA,CA,BAR/TAVERN,ON,1504 G ST,95521
8317ce8b-4121-47ae-abd9-5d1aa1409a2e,2025-05-18 19:50:41.054755+00,Kiosco,,Marietta,GA,RESTAURANT,ON,48 Powder Springs St,30064
831ced99-65b2-4c4b-8b15-7cee9eddd3db,2025-05-18 19:50:41.054755+00,BROKEN COMPASS TIKI,,BURBANK,CA,BAR/TAVERN,ON,2013 W BURBANK BLVD,91506
8361468e-4030-477f-a1c0-f9b7510e8ad3,2025-05-18 19:50:41.054755+00,EHP SISI RESTAURANT LLC(HOTEL),,EAST HAMPTON,NY,RESTAURANT,ON,295 THREE MILE HARBOR RD,11937
83906f09-b628-41de-8cdf-945fc6ec552e,2025-05-18 19:50:41.054755+00,SPOTOS OYSTER BAR,,PALM BEACH GARDENS,FL,RESTAURANT,ON,4560 PGA BLVD,33418
83987db9-0d51-4992-9311-89a38d33d7f7,2025-05-18 19:50:41.054755+00,RISTORANTE LA TOSCANA,,SAN RAFAEL,CA,RESTAURANT,ON,3751 REDWOOD HWY,94903
83debc41-46fd-46f3-a190-0a57dba5900a,2025-05-18 19:50:41.054755+00,HARRIS RESTAURANT,,SAN FRANCISCO,CA,RESTAURANT,ON,2100 VAN NESS AVE,94109
83e1000f-ecd0-467d-826a-8e05624acf04,2025-05-18 19:50:41.054755+00,CARDIFF SEASIDE MARKET,,CARDIFF BY THE SEA,CA,SUPERMARKET,OFF,2087 SAN ELIJO AV,92007
844c549e-81b0-4700-a28a-2ef2a0b2826a,2025-05-18 19:50:41.054755+00,BOND ST,,NEW YORK,NY,RESTAURANT,ON,6 BOND ST,10012
846eaa84-67c6-49d5-bdcd-27e2b20f9809,2025-05-18 19:50:41.054755+00,S Boro Liquors,,Statesboro,GA,LIQUOR/PACKAGE STORE,OFF,860 Buckhead Dr,30458
848bf6a1-4593-4669-90b9-821bf663334e,2025-05-18 19:50:41.054755+00,Beverage City 2,,Fairburn,GA,LIQUOR/PACKAGE STORE,OFF,5370 Highway 92  Ste 140,30213
84e7140f-0212-44b0-987b-99ac9bc18062,2025-05-18 19:50:41.054755+00,BUCCAN,,PALM BEACH,FL,RESTAURANT,ON,350 S COUNTY RD,33480
8533b41f-0798-45c2-9f6b-6065e9db76d6,2025-05-18 19:50:41.054755+00,SUNDANCE,,SNOWMASS VILLAGE,CO,LIQUOR/PACKAGE STORE,OFF,0016 KEARNS RD STE101 104 115,81615
8584119e-4997-4cab-8fca-2cc1f6a63345,2025-05-18 19:50:41.054755+00,Yao Thai Restaurant,,Dunwoody,GA,RESTAURANT,ON,Ste H-31 245 Perimeter Center Pkwy,30346
85d7a44d-f27b-4d5f-b523-666317ae247b,2025-05-18 19:50:41.054755+00,SHANG ARTISAN NOODLE,,LAS VEGAS,NV,RESTAURANT,ON,4983 W FLAMINGO RD #B,89103
86047d25-764e-4e5b-b7a1-62174eb6078c,2025-05-18 19:50:41.054755+00,NORMAN S LIQUORS #2,,SARASOTA,FL,LIQUOR/PACKAGE STORE,OFF,5200 CLARK ROAD,34238
86654dc8-3388-4243-ba39-90b251e7723b,2025-05-18 19:50:41.054755+00,SOBE - GTV SOUTH,,MIAMI,FL,OTHER ON PREMISE,ON,1600 NW 163RD ST,33169
8676cd89-8f0b-4859-bc5e-05302c62bdbc,2025-05-18 19:50:41.054755+00,HEB CENTRAL MARKET 653,,DALLAS,TX,SUPERMARKET,OFF,10720 PRESTON ROAD STE.1018,75230
86f39b15-9cc1-4829-b806-057290d25456,2025-05-18 19:50:41.054755+00,K & L WINE TASTING,,LOS ANGELES,CA,LIQUOR/PACKAGE STORE,OFF,1400-1408 VINE ST,90028
87eb9393-5def-4533-8b8b-c7db4b910d21,2025-05-18 19:50:41.054755+00,IZAKAYA CABIN,,CRESTED BUTTE,CO,RESTAURANT,ON,321 ELK AVENUE,81224
8806fe79-f44d-4c08-92d0-35805827028e,2025-05-18 19:50:41.054755+00,The Bottle Shop (New),,Madison,GA,LIQUOR/PACKAGE STORE,OFF,1510 Eatonton Rd,30650
881f4263-90d2-40f6-a832-2749a3f5ac8d,2025-05-18 19:50:41.054755+00,COSTA MESA WINE & SPIRITS,,COSTA MESA,CA,LIQUOR/PACKAGE STORE,OFF,891 BAKER ST #B1,92626
883c1ec6-feb0-4aa3-a831-def7593326b4,2025-05-18 19:50:41.054755+00,SOPRIS LIQUOR AND WINE,,CARBONDALE,CO,LIQUOR/PACKAGE STORE,OFF,1026 HWY 133,81623
88b20a74-e942-4394-afe5-58ccee911c6d,2025-05-18 19:50:41.054755+00,RESIDENCE INN CUPERTINO,,CUPERTINO,CA,HOTEL/ MOTEL,ON,19429 STEVENS CREEK BLVD,95014
88d305cd-823a-4480-b989-d16b3c87968a,2025-05-18 19:50:41.054755+00,URBAN WINE & SPIRITS,,NEW YORK,NY,LIQUOR/PACKAGE STORE,OFF,45 1ST AVENUE,10003
88ea0a12-486a-4a4a-b828-6667fcbf89d6,2025-05-18 19:50:41.054755+00,ENDS MEAT LLC,,BROOKLYN,NY,OTHER OFF PREMISE,OFF,220 36TH ST UNIT B104,11232
88eed8d1-b4a9-4f90-8362-929d42eaed6a,2025-05-18 19:50:41.054755+00,JONES,,SAN FRANCISCO,CA,BAR/TAVERN,ON,620 JONES STREET,94102
89172dc6-083e-4341-a7d1-9ae43e6a6dab,2025-05-18 19:50:41.054755+00,Peachtree Liquor: Duluth,,Duluth,GA,LIQUOR/PACKAGE STORE,OFF,2750 Buford Hwy Ste 4,30096
89680dc3-c84c-4ed5-9dab-f435a8f3f0c8,2025-05-18 19:50:41.054755+00,PICCALILLI,,CULVER CITY,CA,BAR/TAVERN,ON,3850 MAIN ST #A,90232
89683a7f-e8a2-43cb-a084-9ac2bcc9d107,2025-05-18 19:50:41.054755+00,Max Beverage,,Cumming,GA,LIQUOR/PACKAGE STORE,OFF,928 Market Place Blvd,30041
89efa945-32d0-4043-8837-6386a7c438cd,2025-05-18 19:50:41.054755+00,ASCEND PRIME STEAK AND SUSHI,,BELLEVUE,WA,RESTAURANT,ON,10400 NE 4TH STREET STE 3100,98004
8a8d8ae3-7173-4fd3-9fee-ec6ff7c35463,2025-05-18 19:50:41.054755+00,CHESTNUT CLUB,,SANTA MONICA,CA,BAR/TAVERN,ON,1348 14TH ST,90404
8b83abbb-c97a-4dd6-9e56-d1fa9859dca9,2025-05-18 19:50:41.054755+00,DUXBURY WINE & SPIRITS,,DUXBURY,MA,LIQUOR/PACKAGE STORE,OFF,1-1A WASHINGTON PO 1654,02332
8bd4a78f-393c-4e7a-857c-26722c9873b0,2025-05-18 19:50:41.054755+00,THE BETH,,HINGHAM,MA,BAR/TAVERN,ON,18 SHIPYARD DR STE 1K,02043
8c34b642-0d04-434e-a7ee-5b45ad245cb1,2025-05-18 19:50:41.054755+00,Cave Springs Package,,Douglasville,GA,LIQUOR/PACKAGE STORE,OFF,913 Dallas Highway,30134
8c4db991-93c0-439e-a729-e5bac2603d34,2025-05-18 19:50:41.054755+00,Riverwood Wine & Spirits,,Evans,GA,LIQUOR/PACKAGE STORE,OFF,5118 Washington Rd,30809
8c833c11-364e-4d26-b847-f17d9d59d7cb,2025-05-18 19:50:41.054755+00,BEACON HILL WINE & SPIRITS,,BOSTON,MA,LIQUOR/PACKAGE STORE,OFF,63 CHARLES ST,02114
8c99f83d-3240-4171-8e62-e6c03a9e039e,2025-05-18 19:50:41.054755+00,Thai Spice,,Peachtree City,GA,RESTAURANT,ON,286 Highway 74 N,30269
8cb02a45-3c7d-4ed3-8c66-1d942bac65f3,2025-05-18 19:50:41.054755+00,PIER SIXTY-SIX HOTEL,,FORT LAUDERDALE,FL,HOTEL/ MOTEL,ON,2301 SE 17TH ST,33316
8cb58520-b2a5-4f94-a068-1bab0462dd6e,2025-05-18 19:50:41.054755+00,WINE & LIQUOR DEPOT,,ISLIP,NY,LIQUOR/PACKAGE STORE,OFF,207 ISLIP AVE,11751
8cc663fa-c7de-4681-93a4-801ccc44b948,2025-05-18 19:50:41.054755+00,GRANDMASTER RECORDERS,,LOS ANGELES,CA,GOLF/ COUNTRY CLUB,ON,1518 CAHUENGA BLVD,90028
8cf0ea24-6cc9-43c8-b537-165e01c92899,2025-05-18 19:50:41.054755+00,Beverage World Package Store,,Doraville,GA,LIQUOR/PACKAGE STORE,OFF,6731 Peachtree Industrial Blvd,30360
8d00877d-06e2-42db-996d-de4ae1a1d13e,2025-05-18 19:50:41.054755+00,REMEDY LIQUOR,,SUGAR LAND,TX,LIQUOR/PACKAGE STORE,OFF,6506 E HWY 90 ALT,77479
8d44b9c1-88fc-4cb6-9f02-80b5cb2c666f,2025-05-18 19:50:41.054755+00,A RESTAURANT,,NEWPORT BEACH,CA,RESTAURANT,ON,3334 W COAST HWY,92663
8d729958-abb7-47b2-ac30-103339de39b2,2025-05-18 19:50:41.054755+00,SUSHI MOCKI,,DALLAS,TX,RESTAURANT,ON,5321 E MOCKINGBIRD LN STE 130,75206
8d8f94f3-f3f1-4f1e-9a8a-df0d461757b2,2025-05-18 19:50:41.054755+00,BP Gas Station,,Atlanta,GA,CONVENIENCE/ GAS,OFF,1989 Hosea L Williams Dr SE,30317
8db0ba6f-e8c2-4156-86b7-91c97eb7afae,2025-05-18 19:50:41.054755+00,Robins Package,,Warner Robins,GA,LIQUOR/PACKAGE STORE,OFF,628 S Houston Lake RD,31088
8de7a7ad-dd4a-4ab7-a2f6-e0a10f4c4ffd,2025-05-18 19:50:41.054755+00,2704 S&A WINES & SPIRITS CORP,,LONG ISLAND CITY,NY,LIQUOR/PACKAGE STORE,OFF,42-14 CRESCENT ST,11101
8df21c57-19c4-419e-9cda-de154586719e,2025-05-18 19:50:41.054755+00,PLYMOUTH HOTEL/BLUE RIBBON,,MIAMI BEACH,FL,HOTEL/ MOTEL,ON,336 21 STREET,33139
8e5766fc-99f3-4ea8-873c-c20ede9536f2,2025-05-18 19:50:41.054755+00,LEE S LIQUOR #14 BOULDER,,HENDERSON,NV,LIQUOR/PACKAGE STORE,OFF,1388 S BOULDER HWY,89015
8e5fd8d5-85a1-4669-9d43-bcfaf09a2375,2025-05-18 19:50:41.054755+00,BROADWAY SPIRITS INC,,NEW YORK,NY,LIQUOR/PACKAGE STORE,OFF,299 BROADWAY,10007
8ec85a3e-52af-4d31-a09d-a249cdf467f7,2025-05-18 19:50:41.054755+00,The Atlanta Fish Market,,Atlanta,GA,RESTAURANT,ON,265 Pharr Rd NE,30305
8f31b3ed-f893-4ad0-8c40-ea7b88539926,2025-05-18 19:50:41.054755+00,GRAVITY HAUS,,ASPEN,CO,HOTEL/ MOTEL,ON,315 E HYMAN AVENUE,81611
8fd4e426-9d2f-4c17-9b02-435eddb056b1,2025-05-18 19:50:41.054755+00,Lakeside Package,,Flowery Branch,GA,LIQUOR/PACKAGE STORE,OFF,6168 Gaines Ferry Rd Ste 1&2,30542
90433b4c-5c11-4efa-8db6-066b07847add,2025-05-18 19:50:41.054755+00,LAST DROP TAVERN,,SAN FRANCISCO,CA,BAR/TAVERN,ON,550 POWELL ST,94108
904889aa-501a-4a79-8ea1-44f710782433,2025-05-18 19:50:41.054755+00,TEAM #182 KILIAN,,UNION CITY,CA,OTHER ON PREMISE,ON,33321 DOWE AVE,94587
9054e09f-baa6-478d-8fad-211d9608b708,2025-05-18 19:50:41.054755+00,TEAM #121 HUPP,,CERRITOS,CA,OTHER OFF PREMISE,OFF,17101 VALLEY VIEW AV,90703
90a88db9-e873-4ec9-9e61-686c43148993,2025-05-18 19:50:41.054755+00,Two Guys Beverage & Tobacco NEW,,Vidalia,GA,LIQUOR/PACKAGE STORE,OFF,100 Rudell Rd,30474
910801a3-854f-4506-8dfc-f9c32ded7d8b,2025-05-18 19:50:41.054755+00,WILIBEE S WINE & SPIRITS,,PETALUMA,CA,LIQUOR/PACKAGE STORE,OFF,309 LAKEVILLE ST,94952
9145ef8d-01cf-4282-a58e-3259626bc2b9,2025-05-18 19:50:41.054755+00,SANTA FE STEAKHOUSE,,MCALLEN,TX,RESTAURANT,ON,1918 S. 10TH STREET,78503
91de92f6-2447-4591-bbfe-defc7572b307,2025-05-18 19:50:41.054755+00,East West Package,,Austell,GA,LIQUOR/PACKAGE STORE,OFF,1025 E West Connector Ste 605,30106
92258bd2-0c7c-4ace-ab05-a67875343ea6,2025-05-18 19:50:41.054755+00,RACE LANE LIQUORS,,EAST HAMPTON,NY,LIQUOR/PACKAGE STORE,OFF,21 RACE LN,11937
92740720-a782-4ee0-b908-f106bddf4ed1,2025-05-18 19:50:41.054755+00,One Stop Liquor And Wine,,Metter,GA,LIQUOR/PACKAGE STORE,OFF,976 SE Broad St,30439
92843185-a491-4d58-9efb-e1f7aaec7ba5,2025-05-18 19:50:41.054755+00,Daisy Discount Liquor,,Claxton,GA,RESTAURANT,ON,17114 US Hwy 280,30417
928508a5-7538-4b98-809f-bddf2b296f38,2025-05-18 19:50:41.054755+00,HAMPTON BAYS WINE AND SPIRITS,,HAMPTON BAYS,NY,LIQUOR/PACKAGE STORE,OFF,46 E. MONTAUK HIGHWAY,11946
92e525fe-99f2-4eda-b755-b91c623337f6,2025-05-18 19:50:41.054755+00,Brandon s Package Store,,Peachtree City,GA,LIQUOR/PACKAGE STORE,OFF,101 Petrol Pt,30269
9347d256-7694-470e-934a-e09d4c3066a8,2025-05-18 19:50:41.054755+00,HULLABALOO,,WEST PALM BEACH,FL,RESTAURANT,ON,517-519 CLEMATIS STREET,33401
93d1802e-a403-4020-a48c-7ed829b859fd,2025-05-18 19:50:41.054755+00,RED MOUNTAIN LIQUOR,,CRESTED BUTTE,CO,LIQUOR/PACKAGE STORE,OFF,81 GILLASPEY AVE,81224
93f2ae69-bfaa-4160-a808-904cbfcdfe0c,2025-05-18 19:50:41.054755+00,Island Spirit,,Savannah,GA,LIQUOR/PACKAGE STORE,OFF,444 Johnny Mercer Blvd,31410
