account_id,order_date,cases,sku
5ecf20ca-62cb-4f08-aa23-771ed2f6405c,2024-04-01,23.0,DEFAULT_SKU
d9423ccf-db85-4b89-9a06-3b13865824b3,2024-04-01,8.0,DEFAULT_SKU
137ce881-4d8d-48b4-a6a3-4d62c5aa921b,2024-04-01,3.0,DEFAULT_SKU
d23c7282-ccb1-4728-9e98-eb2c61762359,2024-04-01,5.0,DEFAULT_SKU
97b2f873-ca6c-462b-96a6-b7b400f25d10,2024-04-01,2.0,DEFAULT_SKU
97b2f873-ca6c-462b-96a6-b7b400f25d10,2024-04-01,1.0,DEFAULT_SKU
c6cbfa18-69d0-43a3-9e9a-26e0311e4f06,2024-04-01,3.0,DEFAULT_SKU
5ecf20ca-62cb-4f08-aa23-771ed2f6405c,2024-05-01,192.0,DEFAULT_SKU
b166b326-9c39-4520-811a-adcedd6a3fe0,2024-05-01,14.0,DEFAULT_SKU
d37c4168-fab3-4525-8d47-2ab1ba4eb36d,2024-05-01,10.0,DEFAULT_SKU
68a437aa-ab11-4701-8000-6ebabb5ddc08,2024-05-01,5.0,DEFAULT_SKU
bcca5dcf-aa85-4dc0-826f-b6e26d2e77d2,2024-05-01,20.0,DEFAULT_SKU
e7c9c4eb-c858-47b6-8fb3-261e33e60f05,2024-05-01,1.0,DEFAULT_SKU
302353e7-aa1c-45c2-a53e-8da7414477cb,2024-05-01,10.0,DEFAULT_SKU
e4a0788f-c5cb-48d1-9c32-8f28db49c59e,2024-05-01,1.0,DEFAULT_SKU
08aad558-9198-4bb2-8749-02a5d4ccf429,2024-05-01,2.0,DEFAULT_SKU
cfaf8cd0-6f4f-4209-9817-5fa1d9d84371,2024-05-01,10.0,DEFAULT_SKU
25f78254-977e-4c12-9912-0f4a64ccd9df,2024-05-01,1.0,DEFAULT_SKU
40e5e7d8-b5c9-4e63-8d9d-e13ee2e5b101,2024-05-01,1.0,DEFAULT_SKU
3c8e96a6-40f4-40e3-a50d-803bc84d1af4,2024-05-01,23.0,DEFAULT_SKU
d23c7282-ccb1-4728-9e98-eb2c61762359,2024-05-01,8.0,DEFAULT_SKU
db8e8e73-0fcf-4513-840e-699173f747f8,2024-05-01,3.0,DEFAULT_SKU
6f1fb97c-4638-47eb-a2bf-ca591671754f,2024-05-01,1.0,DEFAULT_SKU
6a236395-e924-4827-90a9-274cb7bdf1e1,2024-05-01,4.0,DEFAULT_SKU
820bf418-8e23-4d38-a6ef-60e95665071b,2024-05-01,1.0,DEFAULT_SKU
c434c933-0b00-4e2c-b731-2708f64de627,2024-05-01,1.0,DEFAULT_SKU
9c800eb8-fbb6-440f-8b5f-25a10c90fa69,2024-05-01,1.0,DEFAULT_SKU
9faeea06-e903-4573-be4f-2b93354ddd1d,2024-05-01,1.0,DEFAULT_SKU
e4e28ab9-f608-412c-b5cc-1fbd8f78879b,2024-05-01,1.0,DEFAULT_SKU
81e5339d-faed-4e55-9ca1-558aae761c5a,2024-05-01,1.0,DEFAULT_SKU
c3f71f3b-ff74-4675-ae0c-5eb57bfe7a3f,2024-05-01,9.0,DEFAULT_SKU
749492e8-227a-43e3-abad-e53908ae7247,2024-05-01,6.0,DEFAULT_SKU
b7549e8d-fe27-487e-86b9-b2a039ac1d8a,2024-05-01,1.0,DEFAULT_SKU
